atom_type,importance_sum
C,2.7154898643493652
CA,2.7154898643493652
CB,3.107527017593384
CD,3.989593744277954
CD1,4.8716607093811035
CD2,5.753751754760742
CE,6.639986515045166
CE1,7.534500598907471
CE2,8.42906379699707
CE3,9.323628425598145
CG,10.107259750366211
CG1,10.502911567687988
CG2,10.898566246032715
CH2,11.294219970703125
CZ,11.585678100585938
CZ2,11.043574333190918
CZ3,10.501471519470215
O,9.959370613098145
OH,9.41726303100586
OD1,8.598267555236816
OD2,7.77926778793335
OE1,6.960268974304199
OE2,6.141270637512207
OG,6.6291961669921875
OG1,7.28048849105835
N,7.93178129196167
NE,8.583073616027832
NE1,8.693795204162598
NE2,8.6499605178833
ND1,8.606219291687012
ND2,8.562479972839355
NZ,8.089415550231934
NH1,7.401740074157715
NH2,6.71406364440918
SD,6.0263872146606445
SG,5.720758438110352
UNKNOWN,5.720758438110352
