atom_type,importance_sum
C,1.5609142780303955
CA,1.5609142780303955
CB,1.9234464168548584
CD,2.7391574382781982
CD1,3.5548596382141113
CD2,4.370561122894287
CE,4.817504405975342
CE1,4.526928424835205
CE2,4.236354351043701
CE3,3.945760726928711
CG,4.1170973777771
CG1,5.905234336853027
CG2,7.693375110626221
CH2,9.481515884399414
CZ,11.080527305603027
CZ2,11.166528701782227
CZ3,11.252532958984375
O,11.338532447814941
OH,11.424535751342773
OD1,9.765976905822754
OD2,8.107420921325684
OE1,6.448866844177246
OE2,4.790310382843018
OG,4.975103855133057
OG1,5.39031457901001
N,5.805527687072754
NE,6.220736980438232
NE1,6.476390838623047
NE2,6.686402797698975
ND1,6.896453380584717
ND2,7.106467247009277
NZ,7.329131126403809
NH1,7.55808687210083
NH2,7.787078857421875
SD,8.016033172607422
SG,8.117798805236816
UNKNOWN,8.117798805236816
