atom_type,importance_sum
C,2.4193735122680664
CA,2.4193735122680664
CB,2.588684558868408
CD,2.9696412086486816
CD1,3.3506155014038086
CD2,3.7315733432769775
CE,3.9183030128479004
CE1,3.716578245162964
CE2,3.5148520469665527
CE3,3.3131446838378906
CG,3.9451465606689453
CG1,7.4951863288879395
CG2,11.045194625854492
CH2,14.595231056213379
CZ,17.732540130615234
CZ2,17.568029403686523
CZ3,17.403514862060547
O,17.239002227783203
OH,17.074487686157227
OD1,14.8886137008667
OD2,12.702735900878906
OE1,10.516861915588379
OE2,8.330985069274902
OG,7.677525997161865
OG1,7.215582847595215
N,6.75363826751709
NE,6.291696071624756
NE1,5.674657821655273
NE2,5.013282775878906
ND1,4.351944446563721
ND2,3.690586566925049
NZ,3.286407232284546
NH1,3.010841131210327
NH2,2.7352757453918457
SD,2.4597063064575195
SG,2.3372316360473633
UNKNOWN,2.3372316360473633
