atom_type,importance_sum
C,3.2195522785186768
CA,3.2195522785186768
CB,3.7945499420166016
CD,5.088301181793213
CD1,6.382030963897705
CD2,7.675804138183594
CE,8.289764404296875
CE1,7.5442352294921875
CE2,6.7986602783203125
CE3,6.053131103515625
CG,5.50081729888916
CG1,5.624905109405518
CG2,5.748991966247559
CH2,5.873077392578125
CZ,6.171929359436035
CZ2,7.868898391723633
CZ3,9.565909385681152
O,11.2628755569458
OH,12.959846496582031
OD1,12.475213050842285
OD2,11.99057674407959
OE1,11.505949974060059
OE2,11.021315574645996
OG,10.517271995544434
OG1,10.01080322265625
N,9.50433349609375
NE,8.997867584228516
NE1,8.726003646850586
NE2,8.521286010742188
ND1,8.316465377807617
ND2,8.111682891845703
NZ,8.775237083435059
NH1,9.873029708862305
NH2,10.970725059509277
SD,12.068517684936523
SG,12.556384086608887
UNKNOWN,12.556384086608887
