protein_id,average_score,number_atoms,min_max_label,percentile_label,threshold_label
4HQJ-fi,0.9991467094421388,29,PseudoPositive,PseudoPositive,Positive
4RET-fi,0.4172141150012612,55,PseudoNegative,StrongNegative,Negative
5OQT-fi,0.5347035782039166,51,PseudoNegative,StrongNegative,Positive
5SY1-fi,0.9994281995296478,34,PseudoPositive,StrongPositive,Positive
5WB2-fi,0.9989323318004608,38,PseudoPositive,PseudoPositive,Positive
6AWN-fi,0.9991000294685364,22,PseudoPositive,PseudoPositive,Positive
6AWO-fi,0.9992969608306884,21,PseudoPositive,StrongPositive,Positive
6AWQ-fi,0.9992850410938264,21,PseudoPositive,StrongPositive,Positive
6JXK-fi,0.998100128173828,45,PseudoPositive,PseudoPositive,Positive
6L47-fi,0.0092944157870806,95,PseudoNegative,StrongNegative,Negative
6NBH-fi,0.9993141496181488,23,PseudoPositive,StrongPositive,Positive
6QEX-fi,0.9994488525390623,25,PseudoPositive,StrongPositive,Positive
6V35-fi,0.9984230864048004,36,PseudoPositive,PseudoPositive,Positive
6VUM-fi,0.9994668078422546,19,PseudoPositive,StrongPositive,Positive
6W5V-fi,0.996368727684021,65,PseudoPositive,PseudoNegative,Positive
7A65-fi,0.9993479788303375,30,PseudoPositive,StrongPositive,Positive
7A6C-fi,0.9995663011074066,22,PseudoPositive,StrongPositive,Positive
7A6E-fi,0.9994111251831056,30,PseudoPositive,StrongPositive,Positive
7A6F-fi,0.9994863283634186,24,PseudoPositive,StrongPositive,Positive
7CA3-fi,0.9990829825401306,20,PseudoPositive,PseudoPositive,Positive
7CUM-fi,0.99218763589859,30,PseudoPositive,PseudoNegative,Positive
7D92-fi,0.9982959723472596,36,PseudoPositive,PseudoPositive,Positive
7D93-fi,0.9240647912025453,58,PseudoPositive,StrongNegative,Positive
7D94-fi,0.5163292134553195,55,PseudoNegative,StrongNegative,Positive
7DDF-fi,0.9282879149913787,59,PseudoPositive,StrongNegative,Positive
7DDI-fi,0.7699297118186951,56,PseudoNegative,StrongNegative,Positive
7DDK-fi,0.5643024456501007,58,PseudoNegative,StrongNegative,Positive
7KY5-fi,0.999536327123642,5,PseudoPositive,StrongPositive,Positive
7KY8-fi,0.9754313743114472,52,PseudoPositive,PseudoNegative,Positive
7KYA-fi,0.9995622599124908,18,PseudoPositive,StrongPositive,Positive
7N4V-fi,0.9995129072666168,29,PseudoPositive,StrongPositive,Positive
7NIW-fi,0.9994700324535368,31,PseudoPositive,StrongPositive,Positive
7QTV-fi,0.7655618315935135,56,PseudoNegative,StrongNegative,Positive
7RM5-fi,0.9958481061458588,41,PseudoPositive,PseudoNegative,Positive
7RR9-fi,0.9979914891719818,34,PseudoPositive,PseudoPositive,Positive
7SK3-fi,0.9102594220638276,54,PseudoPositive,StrongNegative,Positive
7WYS-fi,0.6324404668807984,57,PseudoNegative,StrongNegative,Positive
7WYY-fi,0.999201455116272,45,PseudoPositive,PseudoPositive,Positive
7Y46-fi,0.9858666741847992,50,PseudoPositive,PseudoNegative,Positive
8DPG-fi,8.64063579266494e-06,90,StrongNegative,StrongNegative,Negative
8JD1-fi,0.999563285112381,34,PseudoPositive,StrongPositive,Positive
8JD5-fi,0.9995013117790222,46,PseudoPositive,StrongPositive,Positive
8KDF-fi,0.9990210092067718,40,PseudoPositive,PseudoPositive,Positive
8KDH-fi,0.9899645793437958,55,PseudoPositive,PseudoNegative,Positive
8SRH-fi,0.7746851789951325,77,PseudoNegative,StrongNegative,Positive
8SRK-fi,0.9924742555618288,60,PseudoPositive,PseudoNegative,Positive
8SZG-fi,0.999423612356186,24,PseudoPositive,StrongPositive,Positive
8SZI-fi,0.9994165658950804,24,PseudoPositive,StrongPositive,Positive
8V81-fi,0.9986387610435484,25,PseudoPositive,PseudoPositive,Positive
9AXF-fi,0.9993134129047394,22,PseudoPositive,StrongPositive,Positive
9B36-fi,0.9993599617481232,33,PseudoPositive,StrongPositive,Positive
9B37-fi,0.9948260974884032,35,PseudoPositive,PseudoNegative,Positive
9C3E-fi,0.998694167137146,55,PseudoPositive,PseudoPositive,Positive
9DMG-fi,0.3487628529965877,52,PseudoNegative,StrongNegative,Negative
9DMT-fi,0.1168492879392579,54,PseudoNegative,StrongNegative,Negative
9DXS-fi,0.9967781805992126,36,PseudoPositive,PseudoNegative,Positive
9II3-fi,0.999589433670044,26,PseudoPositive,StrongPositive,Positive
