folder_name,centroid_distance,within_5A,within_10A
6L47_chains_AB,11.089589,False,False
8KDF_chains_AB,25.297915,False,False
7N4V_chains_A,30.760708,False,False
9DMG_chains_AE,28.255497,False,False
7KY8_chains_A,14.209328,False,False
6AWO_chains_A,25.872513,False,False
6VUM_chains_AC,41.72013,False,False
9DXS_chains_CD,35.15451,False,False
5WB2_chains_A,22.8643,False,False
5OQT_chains_AC,37.95785,False,False
7RM5_chains_A,2.328718,True,True
7RR9_chains_B,56.973366,False,False
9C3E_chains_ABGY,34.061657,False,False
9AXF_chains_R,34.894268,False,False
6NBH_chains_R,5.2514524,False,True
9DMT_chains_D,4.2462993,True,True
6AWN_chains_A,25.8694,False,False
8KDH_chains_AB,26.5292,False,False
6AWQ_chains_A,25.88768,False,False
7CA3_chains_A,16.130972,False,False
7CUM_chains_A,16.556492,False,False
8DPG_chains_A,17.85572,False,False
7SK3_chains_A,31.491354,False,False
